"Tipo Doc.;""N.º Doc."";""Refª Cliente"";""Data"";""Cliente"";""Contribuinte"";""País"";""Zona geográfica"";""Método de Pagamento"";""Valor Pgto."";""Comissão Pgto."";""Cód. Artigo"";""Código EAN"";""Artigos"";""Qtd."";""Uni."";""Preço unitário sem IVA"";""Total Artigo"";""Total Ilíq."";""Desc."";""Total Liq."";""Impostos"";""Desc. Financeiro"";""Total"";""Acumulado"";""Local de Descarga"";""Observações""",,,,,,,,,,,,
"Fatura;""FAT/271"";"""";""2023-10-13"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""412","74"";""0","00"";""412","74"";""94","93"";""0","00"";""507","67"";""76548","87"";"""";""Apoio aprovado: 5896","33 (Redução 50% - 56 meses)""",,,,
"Fatura;""FAT/271"";"""";""2023-10-13"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (AMJAD)"";""1","000"";""Uni."";""412","74000"";""412","74"";""412","74"";""0","00"";""412","74"";""94","93"";""0","00"";""507","67"";""507","67""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/272"";"""";""2023-10-24"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""2589","31"";""0","00"";""2589","31"";""595","53"";""0","00"";""3184","84"";""79733","71"";"""";""""",,,,
"Fatura;""FAT/272"";"""";""2023-10-24"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Ana Rita)"";""1","000"";""Uni."";""549","62000"";""549","62"";""549","62"";""0","00"";""549","62"";""126","41"";""0","00"";""676","03"";""676","03""",
"Fatura;""FAT/272"";"""";""2023-10-24"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (André)"";""1","000"";""Uni."";""341","45000"";""341","45"";""341","45"";""0","00"";""341","45"";""78","53"";""0","00"";""419","98"";""1096","01""",
"Fatura;""FAT/272"";"""";""2023-10-24"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Daniel)"";""1","000"";""Uni."";""347","88000"";""347","88"";""347","88"";""0","00"";""347","88"";""80","01"";""0","00"";""427","89"";""1523","90""",
"Fatura;""FAT/272"";"""";""2023-10-24"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Daniele)"";""1","000"";""Uni."";""521","19000"";""521","19"";""521","19"";""0","00"";""521","19"";""119","87"";""0","00"";""641","06"";""2164","96""",
"Fatura;""FAT/272"";"""";""2023-10-24"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Luís)"";""1","000"";""Uni."";""383","79000"";""383","79"";""383","79"";""0","00"";""383","79"";""88","27"";""0","00"";""472","06"";""2637","02""",
"Fatura;""FAT/272"";"""";""2023-10-24"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Thais)"";""1","000"";""Uni."";""445","38000"";""445","38"";""445","38"";""0","00"";""445","38"";""102","44"";""0","00"";""547","82"";""3184","84""",
 ,,,,,,,,,,,,
"Fatura;""FAT/273"";"""";""2023-10-24"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""636","84"";""0","00"";""636","84"";""146","47"";""0","00"";""783","31"";""80517","02"";"""";""1 396","71 recebido""",,,,
"Fatura;""FAT/273"";"""";""2023-10-24"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP - Compromisso Emprego Sustentável - Processo n.º 0058/TJ/23 (Raquel)"";""1","000"";""Uni."";""636","84000"";""636","84"";""636","84"";""0","00"";""636","84"";""146","47"";""0","00"";""783","31"";""783","31""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/274"";"""";""2023-10-25"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""224","00"";""0","00"";""224","00"";""51","52"";""0","00"";""275","52"";""80792","54"";"""";""""",,,,
"Fatura;""FAT/274"";"""";""2023-10-25"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";"""";"""";"""";""0006"";"""";""Formação Excel Inicial"";""1","000"";""Uni."";""224","00000"";""224","00"";""224","00"";""0","00"";""224","00"";""51","52"";""0","00"";""275","52"";""275","52""",
 ,,,,,,,,,,,,
"Fatura;""FAT/275"";"""";""2023-10-25"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""410","00"";""0","00"";""410","00"";""94","30"";""0","00"";""504","30"";""81296","84"";"""";""""",,,,
"Fatura;""FAT/275"";"""";""2023-10-25"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";"""";"""";"""";""0006"";"""";""Formação Excel Inicial - Nowo"";""1","000"";""Uni."";""410","00000"";""410","00"";""410","00"";""0","00"";""410","00"";""94","30"";""0","00"";""504","30"";""504","30""",
 ,,,,,,,,,,,,
"Fatura;""FAT/276"";"""";""2023-11-02"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""81825","74"";"""";""""",,,,,
"Fatura;""FAT/276"";"""";""2023-11-02"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão OUT.23"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/277"";"""";""2023-11-02"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""82354","64"";"""";""""",,,,,
"Fatura;""FAT/277"";"""";""2023-11-02"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão OUT.23"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/278"";"""";""2023-11-02"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""82711","34"";"""";""""",,,,,
"Fatura;""FAT/278"";"""";""2023-11-02"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria + Coaching + Formação do Gabriel Trigo em gestão operacional e financeira"";""1","000"";""Uni."";""290","00000"";""290","00"";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""356","70""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/279"";"""";""2023-11-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""82895","84"";"""";""""",,,,,
"Fatura;""FAT/279"";"""";""2023-11-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow OUTUBRO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/280"";"""";""2023-11-03"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""536","69"";""0","00"";""536","69"";""123","44"";""0","00"";""660","13"";""83555","97"";"""";""5421","16  recebido dia 31/10/2023""",,,,
"Fatura;""FAT/280"";"""";""2023-11-03"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP - CES - Processo n.º 0613/TJ/23 (Lesly Carolina)"";""1","000"";""Uni."";""536","69000"";""536","69"";""536","69"";""0","00"";""536","69"";""123","44"";""0","00"";""660","13"";""660","13""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/281"";"""";""2023-11-06"";""CARINA AREZ UNIPESSOAL LDA"";""516781731"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""83666","67"";"""";""""",,,,,
"Fatura;""FAT/281"";"""";""2023-11-06"";""CARINA AREZ UNIPESSOAL LDA"";""516781731"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria Gestão --- OUT.23"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""110","70""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/282"";"""";""2023-11-11"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""280","00"";""0","00"";""280","00"";""64","40"";""0","00"";""344","40"";""84011","07"";"""";""""",,,,,
"Fatura;""FAT/282"";"""";""2023-11-11"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio OUTUBRO"";""14","000"";""Uni."";""20","00000"";""280","00"";""280","00"";""0","00"";""280","00"";""64","40"";""0","00"";""344","40"";""344","40""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/283"";"""";""2023-11-14"";""Shfit Lda"";""516761587"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""394","00"";""0","00"";""394","00"";""90","62"";""0","00"";""484","62"";""84495","69"";"""";""""",,,,,
"Fatura;""FAT/283"";"""";""2023-11-14"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Comercial Outubro"";""1","000"";""Uni."";""146","00000"";""146","00"";""146","00"";""0","00"";""146","00"";""33","58"";""0","00"";""179","58"";""179","58""",,
"Fatura;""FAT/283"";"""";""2023-11-14"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Marketing Outubro"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""290","28""",,
"Fatura;""FAT/283"";"""";""2023-11-14"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Leads Setembro + Outubro"";""79","000"";""Uni."";""2","00000"";""158","00"";""158","00"";""0","00"";""158","00"";""36","34"";""0","00"";""194","34"";""484","62""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/284"";"""";""2023-11-17"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1544","63"";""0","00"";""1544","63"";""355","26"";""0","00"";""1899","89"";""86395","58"";"""";""Apoio aprovado: 5896","33 (Redução 50% - 56 meses)""",,,
"Fatura;""FAT/284"";"""";""2023-11-17"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (BRUNO)"";""1","000"";""Uni."";""549","62000"";""549","62"";""549","62"";""0","00"";""549","62"";""126","41"";""0","00"";""676","03"";""676","03""",
"Fatura;""FAT/284"";"""";""2023-11-17"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (INÊS)"";""1","000"";""Uni."";""464","34000"";""464","34"";""464","34"";""0","00"";""464","34"";""106","80"";""0","00"";""571","14"";""1247","17""",
"Fatura;""FAT/284"";"""";""2023-11-17"";""People In Shape","S.a."";""508296684"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (ANA CAROLINA)"";""1","000"";""Uni."";""530","67000"";""530","67"";""530","67"";""0","00"";""530","67"";""122","05"";""0","00"";""652","72"";""1899","89""",
 ,,,,,,,,,,,,
"Fatura;""FAT/285"";"""";""2023-11-21"";""SÃO BENTO RACKETSPRO - EXPLORAÇÃO DE CAMPOS DE PADEL E EQUIPAMENTOS","LDA"";""510675697"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""857","61"";""0","00"";""857","61"";""197","25"";""0","00"";""1054","86"";""87450","44"";"""";""""",,,,
"Fatura;""FAT/285"";"""";""2023-11-21"";""SÃO BENTO RACKETSPRO - EXPLORAÇÃO DE CAMPOS DE PADEL E EQUIPAMENTOS","LDA"";""510675697"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""P&L - Nov23"";""0","733"";""Uni."";""630","00000"";""461","79"";""461","79"";""0","00"";""461","79"";""106","21"";""0","00"";""568","00"";""568","00""",
"Fatura;""FAT/285"";"""";""2023-11-21"";""SÃO BENTO RACKETSPRO - EXPLORAÇÃO DE CAMPOS DE PADEL E EQUIPAMENTOS","LDA"";""510675697"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""CF - Nov23"";""0","733"";""Uni."";""450","00000"";""329","85"";""329","85"";""0","00"";""329","85"";""75","87"";""0","00"";""405","72"";""973","72""",
"Fatura;""FAT/285"";"""";""2023-11-21"";""SÃO BENTO RACKETSPRO - EXPLORAÇÃO DE CAMPOS DE PADEL E EQUIPAMENTOS","LDA"";""510675697"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""KPIs - Nov23"";""0","733"";""Uni."";""90","00000"";""65","97"";""65","97"";""0","00"";""65","97"";""15","17"";""0","00"";""81","14"";""1054","86""",
 ,,,,,,,,,,,,
"Fatura;""FAT/286"";"""";""2023-11-27"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""392","10"";""0","00"";""392","10"";""90","18"";""0","00"";""482","28"";""87932","72"";"""";""""",,,,,
"Fatura;""FAT/286"";"""";""2023-11-27"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Site com SEO (Wordpress)"";""0","500"";""Uni."";""784","20000"";""392","10"";""392","10"";""0","00"";""392","10"";""90","18"";""0","00"";""482","28"";""482","28""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/287"";"""";""2023-11-28"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""600","00"";""0","00"";""600","00"";""138","00"";""0","00"";""738","00"";""88670","72"";"""";""""",,,,
"Fatura;""FAT/287"";"""";""2023-11-28"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";"""";"""";"""";""0006"";"""";""Formação Excel Inicial - Makro"";""1","000"";""Uni."";""300","00000"";""300","00"";""300","00"";""0","00"";""300","00"";""69","00"";""0","00"";""369","00"";""369","00""",
"Fatura;""FAT/287"";"""";""2023-11-28"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";"""";"""";"""";""0006"";"""";""Formação Excel Intermédio - Makro"";""1","000"";""Uni."";""300","00000"";""300","00"";""300","00"";""0","00"";""300","00"";""69","00"";""0","00"";""369","00"";""738","00""",
 ,,,,,,,,,,,,
"Fatura;""FAT/288"";"""";""2023-11-30"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""748","00"";""0","00"";""748","00"";""172","04"";""0","00"";""920","04"";""89590","76"";"""";""""",,,,
"Fatura;""FAT/288"";"""";""2023-11-30"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";"""";"""";"""";""0006"";"""";""Formação Excel Avançado - Verlingue"";""1","000"";""Uni."";""350","00000"";""350","00"";""350","00"";""0","00"";""350","00"";""80","50"";""0","00"";""430","50"";""430","50""",
"Fatura;""FAT/288"";"""";""2023-11-30"";""ADECCO PRESTAÇÂO DE SERVIÇOS","Lda"";""503402516"";""Portugal"";"""";"""";"""";"""";""0006"";"""";""Formação Excel Intermédio - Verlingue"";""1","000"";""Uni."";""398","00000"";""398","00"";""398","00"";""0","00"";""398","00"";""91","54"";""0","00"";""489","54"";""920","04""",
 ,,,,,,,,,,,,
"Fatura;""FAT/289"";"""";""2023-12-04"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""90119","66"";"""";""""",,,,,
"Fatura;""FAT/289"";"""";""2023-12-04"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão NOV.23"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/290"";"""";""2023-12-04"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""90648","56"";"""";""""",,,,,
"Fatura;""FAT/290"";"""";""2023-12-04"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão NOV.23"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/291"";"""";""2023-12-04"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""91005","26"";"""";""""",,,,,
"Fatura;""FAT/291"";"""";""2023-12-04"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria + Coaching + Formação do Gabriel Trigo em gestão operacional e financeira"";""1","000"";""Uni."";""290","00000"";""290","00"";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""356","70""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/292"";"""";""2023-12-04"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""91189","76"";"""";""""",,,,,
"Fatura;""FAT/292"";"""";""2023-12-04"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow NOVEMBRO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/293"";"""";""2023-12-09"";""SÃO BENTO RACKETSPRO - EXPLORAÇÃO DE CAMPOS DE PADEL E EQUIPAMENTOS","LDA"";""510675697"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1170","00"";""0","00"";""1170","00"";""269","10"";""0","00"";""1439","10"";""92628","86"";"""";""""",,,,
"Fatura;""FAT/293"";"""";""2023-12-09"";""SÃO BENTO RACKETSPRO - EXPLORAÇÃO DE CAMPOS DE PADEL E EQUIPAMENTOS","LDA"";""510675697"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""P&L - Dez23"";""1","000"";""Uni."";""630","00000"";""630","00"";""630","00"";""0","00"";""630","00"";""144","90"";""0","00"";""774","90"";""774","90""",
"Fatura;""FAT/293"";"""";""2023-12-09"";""SÃO BENTO RACKETSPRO - EXPLORAÇÃO DE CAMPOS DE PADEL E EQUIPAMENTOS","LDA"";""510675697"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""CF - Dez23"";""1","000"";""Uni."";""450","00000"";""450","00"";""450","00"";""0","00"";""450","00"";""103","50"";""0","00"";""553","50"";""1328","40""",
"Fatura;""FAT/293"";"""";""2023-12-09"";""SÃO BENTO RACKETSPRO - EXPLORAÇÃO DE CAMPOS DE PADEL E EQUIPAMENTOS","LDA"";""510675697"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""KPIs - Dez23"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""1439","10""",
 ,,,,,,,,,,,,
"Fatura;""FAT/294"";"""";""2023-12-13"";""CARINA AREZ UNIPESSOAL LDA"";""516781731"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""92739","56"";"""";""""",,,,,
"Fatura;""FAT/294"";"""";""2023-12-13"";""CARINA AREZ UNIPESSOAL LDA"";""516781731"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria Gestão --- NOV.23"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""110","70""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/295"";"""";""2023-12-14"";""Shfit Lda"";""516761587"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""268","00"";""0","00"";""268","00"";""61","64"";""0","00"";""329","64"";""93069","20"";"""";""""",,,,,
"Fatura;""FAT/295"";"""";""2023-12-14"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Comercial Outubro"";""1","000"";""Uni."";""146","00000"";""146","00"";""146","00"";""0","00"";""146","00"";""33","58"";""0","00"";""179","58"";""179","58""",,
"Fatura;""FAT/295"";"""";""2023-12-14"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Marketing Outubro"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""290","28""",,
"Fatura;""FAT/295"";"""";""2023-12-14"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Leads Campanha 1 Semana de Oferta"";""16","000"";""Uni."";""2","00000"";""32","00"";""32","00"";""0","00"";""32","00"";""7","36"";""0","00"";""39","36"";""329","64""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/296"";"""";""2023-12-14"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""270","00"";""0","00"";""270","00"";""62","10"";""0","00"";""332","10"";""93401","30"";"""";""""",,,,,
"Fatura;""FAT/296"";"""";""2023-12-14"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio Novembro"";""13","500"";""Uni."";""20","00000"";""270","00"";""270","00"";""0","00"";""270","00"";""62","10"";""0","00"";""332","10"";""332","10""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/297"";"""";""2023-12-14"";""Skimacorp Lda"";""514264837"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""442","23"";""0","00"";""442","23"";""101","71"";""0","00"";""543","94"";""93945","24"";"""";""""",,,,,
"Fatura;""FAT/297"";"""";""2023-12-14"";""Skimacorp Lda"";""514264837"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Seg Social - apoio redução TSU (Maria Beatriz)"";""1","000"";""Uni."";""442","23000"";""442","23"";""442","23"";""0","00"";""442","23"";""101","71"";""0","00"";""543","94"";""543","94""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/298"";"""";""2023-12-14"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""552","79"";""0","00"";""552","79"";""127","12"";""0","00"";""679","91"";""94625","15"";"""";""Apoio aprovado: 6001","63 (Redução 50% - 57 meses)""",,,,
"Fatura;""FAT/298"";"""";""2023-12-14"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (FLORENCIA)"";""1","000"";""Uni."";""78","97000"";""78","97"";""78","97"";""0","00"";""78","97"";""18","16"";""0","00"";""97","13"";""97","13""",,
"Fatura;""FAT/298"";"""";""2023-12-14"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Gislaine)"";""1","000"";""Uni."";""78","97000"";""78","97"";""78","97"";""0","00"";""78","97"";""18","16"";""0","00"";""97","13"";""194","26""",,
"Fatura;""FAT/298"";"""";""2023-12-14"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Belany))"";""1","000"";""Uni."";""78","97000"";""78","97"";""78","97"";""0","00"";""78","97"";""18","16"";""0","00"";""97","13"";""291","39""",,
"Fatura;""FAT/298"";"""";""2023-12-14"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Sonam)"";""1","000"";""Uni."";""78","97000"";""78","97"";""78","97"";""0","00"";""78","97"";""18","16"";""0","00"";""97","13"";""388","52""",,
"Fatura;""FAT/298"";"""";""2023-12-14"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Amjad)"";""1","000"";""Uni."";""78","97000"";""78","97"";""78","97"";""0","00"";""78","97"";""18","16"";""0","00"";""97","13"";""485","65""",,
