"Tipo Doc.;""N.º Doc."";""Refª Cliente"";""Data"";""Cliente"";""Contribuinte"";""País"";""Zona geográfica"";""Método de Pagamento"";""Valor Pgto."";""Comissão Pgto."";""Cód. Artigo"";""Código EAN"";""Artigos"";""Qtd."";""Uni."";""Preço unitário sem IVA"";""Total Artigo"";""Total Ilíq."";""Desc."";""Total Liq."";""Impostos"";""Desc. Financeiro"";""Total"";""Acumulado"";""Local de Descarga"";""Observações""",,,,,,,,,,,,
"Fatura;""FAT/158"";"""";""2023-01-03"";""NEFAMA BLUEALOJAMENTO COM RESTAURANTE","LDA"";""515363324"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""63","00"";""0","00"";""63","00"";""14","49"";""0","00"";""77","49"";""10623","79"";"""";""""",,,,
"Fatura;""FAT/158"";"""";""2023-01-03"";""NEFAMA BLUEALOJAMENTO COM RESTAURANTE","LDA"";""515363324"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""63","00000"";""63","00"";""63","00"";""0","00"";""63","00"";""14","49"";""0","00"";""77","49"";""77","49""",
 ,,,,,,,,,,,,
"Fatura;""FAT/159"";"""";""2023-01-03"";""CARDINAL FESTIVO LDA"";""513760709"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""210","00"";""0","00"";""210","00"";""48","30"";""0","00"";""258","30"";""10882","09"";"""";""""",,,,,
"Fatura;""FAT/159"";"""";""2023-01-03"";""CARDINAL FESTIVO LDA"";""513760709"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""210","00000"";""210","00"";""210","00"";""0","00"";""210","00"";""48","30"";""0","00"";""258","30"";""258","30""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/160"";"""";""2023-01-03"";""DOMIVER - RESTAURANTE","LDA"";""507368304"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""63","00"";""0","00"";""63","00"";""14","49"";""0","00"";""77","49"";""10959","58"";"""";""""",,,,
"Fatura;""FAT/160"";"""";""2023-01-03"";""DOMIVER - RESTAURANTE","LDA"";""507368304"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""63","00000"";""63","00"";""63","00"";""0","00"";""63","00"";""14","49"";""0","00"";""77","49"";""77","49""",
 ,,,,,,,,,,,,
"Fatura;""FAT/161"";"""";""2023-01-10"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""16","76"";""0","00"";""16","76"";""3","85"";""0","00"";""20","61"";""10980","19"";"""";""""",,,,,
"Fatura;""FAT/161"";"""";""2023-01-10"";""JOGO JOGADO - CONSULTORIA E FORMAÇÃO LDA"";""508784590"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Gestão"";""1","000"";""Uni."";""16","75600"";""16","76"";""16","76"";""0","00"";""16","76"";""3","85"";""0","00"";""20","61"";""20","61""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/162"";"""";""2023-01-12"";""ATELIER GASTRONÓMICO 2 LDA"";""508756677"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1054","86"";""0","00"";""1054","86"";""242","62"";""0","00"";""1297","48"";""12277","67"";"""";""""",,,,,
"Fatura;""FAT/162"";"""";""2023-01-12"";""ATELIER GASTRONÓMICO 2 LDA"";""508756677"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Diogo)"";""1","000"";""Uni."";""527","43000"";""527","43"";""527","43"";""0","00"";""527","43"";""121","31"";""0","00"";""648","74"";""648","74""",,
"Fatura;""FAT/162"";"""";""2023-01-12"";""ATELIER GASTRONÓMICO 2 LDA"";""508756677"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Josué)"";""1","000"";""Uni."";""527","43000"";""527","43"";""527","43"";""0","00"";""527","43"";""121","31"";""0","00"";""648","74"";""1297","48""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/163"";"""";""2023-02-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""12769","67"";"""";""""",,,,,
"Fatura;""FAT/163"";"""";""2023-02-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão JANEIRO"";""1","000"";""Uni."";""400","00000"";""400","00"";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""492","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/164"";"""";""2023-02-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""13261","67"";"""";""""",,,,,
"Fatura;""FAT/164"";"""";""2023-02-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão JANEIRO"";""1","000"";""Uni."";""400","00000"";""400","00"";""400","00"";""0","00"";""400","00"";""92","00"";""0","00"";""492","00"";""492","00""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/165"";"""";""2023-02-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""13446","17"";"""";""""",,,,,
"Fatura;""FAT/165"";"""";""2023-02-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow JANEIRO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/166"";"""";""2023-02-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""230","00"";""0","00"";""230","00"";""52","90"";""0","00"";""282","90"";""13729","07"";"""";""""",,,,,
"Fatura;""FAT/166"";"""";""2023-02-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio JANEIRO"";""5","000"";""Uni."";""20","00000"";""100","00"";""100","00"";""0","00"";""100","00"";""23","00"";""0","00"";""123","00"";""123","00""",,
"Fatura;""FAT/166"";"""";""2023-02-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio - eliminar Nutrição de todos os contratos"";""6","500"";""Uni."";""20","00000"";""130","00"";""130","00"";""0","00"";""130","00"";""29","90"";""0","00"";""159","90"";""282","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/167"";"""";""2023-02-01"";""JARDIM & CARVALHO - MERCHANDISING PROMOCIONAL","LDA"";""514668229"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""631","75"";""0","00"";""631","75"";""145","30"";""0","00"";""777","05"";""14506","12"";"""";""""",,,,
"Fatura;""FAT/167"";"""";""2023-02-01"";""JARDIM & CARVALHO - MERCHANDISING PROMOCIONAL","LDA"";""514668229"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg.Social redução TSU (Felicio)"";""1","000"";""Uni."";""631","75000"";""631","75"";""631","75"";""0","00"";""631","75"";""145","30"";""0","00"";""777","05"";""777","05""",
 ,,,,,,,,,,,,
"Fatura;""FAT/168"";"""";""2023-02-01"";""LEVES & DELICADAS - INDÚSTRIA DE CONFECÇÕES LDA"";""509341047"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""94","76"";""0","00"";""94","76"";""21","79"";""0","00"";""116","55"";""14622","67"";"""";""""",,,,,
"Fatura;""FAT/168"";"""";""2023-02-01"";""LEVES & DELICADAS - INDÚSTRIA DE CONFECÇÕES LDA"";""509341047"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg. Social - candidatura redução TSU Ana Maria Dias"";""1","000"";""Uni."";""94","76000"";""94","76"";""94","76"";""0","00"";""94","76"";""21","79"";""0","00"";""116","55"";""116","55""",,
 ,,,,,,,,,,,,
